year,pop_future,pop_hist
1950,,2536605808
1951,,2584034223
1952,,2630861688
1953,,2677609059
1954,,2724846751
1955,,2773019915
1956,,2822443253
1957,,2873306055
1958,,2925686678
1959,,2979576143
1960,,3035160180
1961,,3091843506
1962,,3150420759
1963,,3211000941
1964,,3273978271
1965,,3339583509
1966,,3407922630
1967,,3478770102
1968,,3551599432
1969,,3625680964
1970,,3700685676
1971,,3775760030
1972,,3851650585
1973,,3927780518
1974,,4003794178
1975,,4079480473
1976,,4154666824
1977,,4229505917
1978,,4304533597
1979,,4380506180
1980,,4458274952
1981,,4536996616
1982,,4617386524
1983,,4699569184
1984,,4784011512
1985,,4870921665
1986,,4960567998
1987,,5052521994
1988,,5145425992
1989,,5237441433
1990,,5327529078
1991,,5414289382
1992,,5498919891
1993,,5581597596
1994,,5663150426
1995,,5744212929
1996,,5824891927
1997,,5905045647
1998,,5984794072
1999,,6064239030
2000,,6143776621
2001,,6222912459
2002,,6302062210
2003,,6381477292
2004,,6461454653
2005,,6542205330
2006,,6623819401
2007,,6706251239
2008,,6789396380
2009,,6873077808
2010,,6957137521
2011,,7041509491
2012,,7126144677
2013,,7210900157
2014,,7295610265
2015,,7380117870
2016,,7464344232
2017,,7548182589
2018,,7631091110
2019,,7713468203
2020,,7794798725
2021,,7874965730
2022,7953952572,
2023,8031800338,
2024,8108605253,
2025,8184437453,
2026,8259276649,
2027,8333078315,
2028,8405863296,
2029,8477660720,
2030,8548487367,
2031,8618349452,
2032,8687227871,
2033,8755083512,
2034,8821862703,
2035,8887524228,
2036,8952048883,
2037,9015437614,
2038,9077693643,
2039,9138828561,
2040,9198847382,
2041,9257745483,
2042,9315508153,
2043,9372118246,
2044,9427555381,
2045,9481803269,
2046,9534854671,
2047,9586707748,
2048,9637357320,
2049,9686800144,
2050,9735033898,
2051,9782061757,
2052,9827885441,
2053,9872501561,
2054,9915905250,
2055,9958098746,
2056,9999085167,
2057,10038881262,
2058,10077518080,
2059,10115036358,
2060,10151469682,
2061,10186837206,
2062,10221149040,
2063,10254419002,
2064,10286658352,
2065,10317879312,
2066,10348098076,
2067,10377330829,
2068,10405590529,
2069,10432889134,
2070,10459239499,
2071,10484654857,
2072,10509150399,
2073,10532742861,
2074,10555450002,
2075,10577288193,
2076,10598274168,
2077,10618420909,
2078,10637736818,
2079,10656228231,
2080,10673904453,
2081,10690773333,
2082,10706852426,
2083,10722171373,
2084,10736765441,
2085,10750662352,
2086,10763874021,
2087,10776402016,
2088,10788248944,
2089,10799413362,
2090,10809892301,
2091,10819682642,
2092,10828780958,
2093,10837182075,
2094,10844878796,
2095,10851860143,
2096,10858111582,
2097,10863614774,
2098,10868347632,
2099,10872284132,
2100,10875393716,
