year,internet_pen
1990,0.0492353503886526
1991,0.0791811448606764
1992,0.125363507571836
1993,0.178899926843963
1994,0.359900198627025
1995,0.681457000731263
1996,1.32346981670892
1997,2.03950847211358
1998,3.13640582616729
1999,4.62993504135382
2000,6.73388038172672
2001,8.05907355321202
2002,10.5283686906732
2003,12.2097659831683
2004,14.0982293188612
2005,15.7028936153559
2006,17.4831937915925
2007,20.4117381555735
2008,22.9587730234956
2009,25.3708372478522
2010,28.7535063686057
2011,31.1482105767916
2012,34.2253920368198
2013,36.6391439419875
2014,39.8585274477917
2015,41.6920714467025
2016,44.844248197958
2017,48.9969115845464
